"gene_id","X22D_3.55","X182A_9.84","X163A_2.2","X156A_4.2","X174A_6.6","X101A_0.73","X162A_2.2","X183A_9.84","X97A_1.1","X175A_6.6","hs_symbol","SYMBOL","PRC2_targ"
"AMEX60DD054745",0.115702479338843,0.0897435897435897,0.0595238095238095,0.120300751879699,0.0689655172413793,0.0769230769230769,0.0973451327433628,0.0545454545454545,0.131868131868132,0.0823529411764706,"TRPV1","Trpv1","All Promoters"
"AMEX60DD054746",1,0.869565217391304,0.944444444444444,0.961538461538462,0.959016393442623,0.857142857142857,0.769230769230769,0.574468085106383,0.557377049180328,0.894736842105263,"CTNS","Ctns","All Promoters"
"AMEX60DD054747",0,0,0,0,0,0,0,0,0,0,"SHPK","Shpk","All Promoters"
"AMEX60DD054748",0,0,0,0,0,0,0,0,0.00847457627118644,0,"TAX1BP3","Tax1bp3","All Promoters"
"AMEX60DD054750",0,0,0,0,0,0,0,0,0,0,"EMC6","Emc6","All Promoters"
"AMEX60DD054751",0.0451612903225806,0.032258064516129,0.0837988826815642,0.0123456790123457,0.09,0,0.0608695652173913,0.0737704918032787,0.0359712230215827,0,"P2RX4","P2rx4.2","All Promoters"
"AMEX60DD054753",0.66,0.794117647058823,0.694915254237288,0.860759493670886,0.948979591836735,0.865384615384615,0.752136752136752,0.558823529411765,0.708860759493671,0.933333333333333,NA,"AM054753","All Promoters"
"AMEX60DD054754",0.0909090909090909,0.421052631578947,0.4,0.244444444444444,0.269736842105263,0.345679012345679,0.25,0.375,0.25531914893617,0.161290322580645,"UBC","Ubc.2","All Promoters"
"AMEX60DD054755",0.585714285714286,0.583333333333333,0.5,0.574074074074074,0.541666666666667,0.696969696969697,0.550561797752809,0.575757575757576,0.638888888888889,0.566666666666667,"UBC","Ubc.3","All Promoters"
"AMEX60DD054757",0.125,0.0714285714285714,0.244897959183673,0.0909090909090909,0.225806451612903,0.363636363636364,0.279279279279279,0.148148148148148,0.277777777777778,0.147058823529412,"ITGAE","Itgae.2","All Promoters"
"AMEX60DD054758",0.580645161290323,0.736842105263158,0.5,0.722222222222222,0.722222222222222,0.681818181818182,0.62962962962963,0.666666666666667,0.741935483870968,0.714285714285714,"TRPV1","Trpv1.1","All Promoters"
"AMEX60DD054759",0.578125,0.625,0.574074074074074,0.44047619047619,0.593220338983051,0.466666666666667,0.5625,0.638888888888889,0.7,0.478723404255319,NA,"AM054759","All Promoters"
"AMEX60DD054760",0.526315789473684,0.835714285714286,0.725609756097561,0.821678321678322,0.923076923076923,0.903225806451613,0.977272727272727,0.793269230769231,0.818181818181818,0.818965517241379,NA,"AM054760","All Promoters"
"AMEX60DD054761",0.481481481481481,0.0684931506849315,0.188679245283019,0.222222222222222,0.145454545454545,0.0555555555555556,0.28,0.161764705882353,0.323529411764706,0,NA,"LOC115096549","All Promoters"
